,MovieID,User_rate,predict_rates,diff
0,1,,8.031580952624546,
1,2,,9.768975645181305,
2,3,,5.114681577285552,
3,4,,6.74564621972439,
4,5,3.43,8.25962005394463,4.82962005394463
5,6,,11.789573737796811,
6,7,7.46,6.694169491771125,0.7658305082288752
7,8,3.67,6.4996627856027285,2.8296627856027285
8,9,,6.845197322129009,
9,10,,9.321642545973443,
10,11,,8.284159238358054,
11,12,,11.311183537415268,
12,13,3.62,6.923606252397425,3.303606252397425
13,14,,11.660243902018607,
14,15,17.41,7.2655602819618315,10.144439718038168
15,16,10.32,6.07042788424153,4.24957211575847
16,17,11.87,7.951591030652217,3.918408969347782
17,18,3.43,8.426811238636432,4.9968112386364325
18,19,3.43,9.35091405220015,5.92091405220015
19,20,6.34,7.574396356589494,1.2343963565894942
20,21,13.43,13.494195936736013,0.06419593673601298
21,22,,10.331949465957845,
22,23,,8.780544516694786,
23,24,,5.93461307784763,
24,25,,9.204272196229734,
25,26,13.04,12.529281228961622,0.5107187710383769
26,27,17.02,14.45287855009061,2.56712144990939
27,28,11.1,12.029804089438555,0.9298040894385551
28,29,9.83,13.469121257529759,3.6391212575297587
29,30,,7.899665681443114,
30,31,12.17,13.53808236737087,1.3680823673708709
31,32,10.61,13.89638347510303,3.2863834751030314
32,33,,8.795635222771681,
33,34,,11.460953476853652,
34,35,11.1,13.914254831911002,2.8142548319110023
35,36,17.41,14.192742306424915,3.2172576935750854
36,37,,7.937535024553703,
37,38,,11.02466640087128,
38,39,,11.154194792509225,
39,40,,8.532130893972406,
40,41,,9.815195824743876,
41,42,15.08,13.678505341160335,1.401494658839665
42,43,,8.703829371739184,
43,44,,8.15216569323544,
44,45,,10.869192173761409,
45,46,12.21,12.458978036845131,0.24897803684513065
46,47,11.63,12.674012380502521,1.0440123805025205
47,48,8.04,12.029851223790272,3.9898512237902732
48,49,13.67,14.189609849910918,0.5196098499109176
49,50,10.66,14.489818159827106,3.8298181598271057
50,51,,9.674232974511963,
51,52,,9.1248752023453,
52,53,9.35,14.156183080898854,4.806183080898855
53,54,18.18,14.398873880811305,3.781126119188695
54,55,,9.568204770527657,
55,56,12.7,13.011808543851206,0.3118085438512068
56,57,,6.882166333878345,
57,58,,5.775317482626072,
58,59,,9.12388341172155,
59,60,,7.43138566164545,
60,61,,13.836776518997285,
61,62,14.4,14.239154677463048,0.16084532253695194
62,63,,10.03786320945516,
63,64,,7.827208213252431,
64,65,13.28,13.84658348578731,0.5665834857873104
65,66,19.45,14.141353489106324,5.308646510893675
66,67,,9.447676746858926,
67,68,11.92,13.759863206556028,1.8398632065560285
68,69,18.04,13.982187183203123,4.057812816796876
69,70,,11.234501304744574,
70,71,,7.653932916377482,
71,72,,13.74169973809514,
72,73,,12.788387081794149,
73,74,10.22,7.2742616979177415,2.945738302082259
74,75,,9.370378293304286,
75,76,,13.166260703198455,
76,77,10.76,10.495810088600907,0.2641899113990931
77,78,,11.544560774073007,
78,79,,9.900373910148689,
79,80,,11.59240889950776,
80,81,,12.244742731101535,
81,82,,10.307005342700537,
82,83,,11.299426144327665,
83,84,,9.589142996163805,
84,85,,10.806362528112201,
85,86,,8.514763599327308,
86,87,,11.868650685929106,
87,88,,11.765549218780121,
88,89,18.04,13.161178397250165,4.878821602749834
89,90,,8.860625719826608,
90,91,,11.126279362032207,
91,92,,10.230487044523485,
92,93,,12.406473990793627,
93,94,,10.844139688440723,
94,95,,9.833589261190424,
95,96,,11.543277594679035,
96,97,,11.224666918644017,
97,98,,12.260683374727687,
98,99,,9.832625113055691,
99,100,,10.27495214515347,
