,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
10,,,,,2.210000000000001,19.59,18.09,16.34,,17.36,15.61,6.58,12.12,20.17,16.34,5.13,11.83,10.81,18.52,18.18,18.38,11.15,,,,16.73,4.2,19.59,19.16,11.15,20.08,20.17,,,16.19,10.9,,17.84,10.81,11.97,19.59,11.44,,,13.82,17.94,7.6,11.1,10.85,19.74,,,18.43,19.83,,11.1,,,,,19.5,16.58,19.880000000000006,,18.57,10.9,,17.41,14.45,,,,,,10.95,,,,,,,,,,18.04,19.880000000000006,,,,,,,,,,,,,,
35,11.0,7.84,14.06,,13.04,13.28,11.63,12.75,,10.9,17.17,17.5,10.9,17.21,9.54,11.53,10.66,11.49,12.5,11.73,15.32,15.56,8.379999999999999,,12.55,15.56,16.78,13.86,17.41,,17.5,15.71,,15.08,17.17,17.84,,8.18,11.15,17.17,11.49,17.12,11.0,8.91,17.75,11.68,15.95,17.89,15.66,15.9,,12.99,16.58,15.27,12.46,10.95,,,,11.63,19.2,17.75,12.36,13.28,15.76,15.13,,17.17,10.47,,,,,,,,,,,,,,,,,,12.65,12.55,,,,,13.91,,,,,,,
67,,,,,14.11,20.17,12.12,12.02,,9.3,18.67,19.83,4.5,20.17,14.79,17.65,11.68,15.51,16.68,8.86,11.1,17.36,,,12.99,18.62,14.4,14.25,16.68,,18.96,16.78,12.65,11.05,16.97,19.16,,11.0,13.23,7.41,6.19,10.76,,,11.34,13.28,8.57,10.61,17.6,16.19,,,19.54,19.35,,19.2,,,,,15.22,16.58,15.47,,13.04,19.59,,19.5,19.54,12.99,,,,,,,,,,,,,14.25,,12.02,,,,,,,,,,,,,,,
87,,,,,18.09,,19.5,6.78,,,18.04,17.7,15.32,14.93,11.87,16.58,12.99,12.26,16.73,19.3,18.57,,,,18.72,18.04,19.11,17.65,13.57,,18.96,17.6,,18.67,15.37,17.21,,16.73,,17.46,10.76,17.89,,,16.490000000000002,19.98,16.0,15.95,16.92,10.27,,16.92,17.7,14.25,12.17,18.96,,,,,17.02,18.23,,,19.25,19.45,,17.31,16.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,,18.52,17.94,6.53,17.84,14.25,18.09,13.91,,2.41,11.05,16.15,6.24,20.32,17.36,1.1500000000000004,10.42,7.55,12.84,18.14,17.94,11.39,2.02,,3.72,20.37,19.880000000000006,20.32,20.37,12.99,12.31,18.86,1.83,12.5,18.67,20.32,10.47,18.62,19.3,20.37,4.5,17.55,7.65,,5.51,8.96,16.58,18.57,16.44,17.990000000000006,3.04,4.64,20.27,19.83,5.08,20.32,,,11.39,2.02,20.22,20.32,16.0,2.17,20.27,17.46,,20.37,20.37,3.33,,,,,,,,,,,,,,,,,,,,,,,,,,,19.54,16.97,8.18,
136,,,,,11.63,14.16,13.96,1.7799999999999994,,,,16.34,14.69,18.77,9.74,4.2,6.97,16.97,16.29,18.72,18.52,16.39,14.69,,,,19.06,16.97,16.97,,19.54,16.63,,19.2,16.1,18.82,,19.54,19.06,16.83,13.62,19.3,,,19.01,19.16,19.45,18.48,19.01,18.67,,,18.33,18.52,19.2,16.15,,,16.63,,18.96,19.3,16.19,,16.83,19.3,,18.96,19.11,13.62,,,,,,,11.49,,,,11.83,,,,,,,13.62,,,,,,,,,,,16.34,
166,,,,,13.77,12.46,15.17,16.92,,13.86,13.86,16.39,16.78,19.5,11.97,14.11,14.06,13.86,10.85,10.85,13.82,15.95,16.0,,12.46,14.5,18.14,16.63,18.72,17.12,16.63,16.240000000000002,,13.23,16.83,16.63,,16.34,12.6,16.58,11.92,19.35,,,16.39,14.5,18.91,18.77,14.88,18.52,,13.23,16.44,19.64,16.0,12.12,,,13.23,,17.12,16.87,11.92,,11.97,19.3,,16.15,14.01,,,15.13,12.07,11.92,,,,,,,,,,,,,,,,,,,,,,,,,,
170,,19.74,,,19.64,20.130000000000006,6.1,5.17,,18.72,16.29,19.54,14.93,17.6,1.4900000000000002,6.15,1.2899999999999991,10.51,13.09,9.4,19.45,19.79,,,15.71,19.64,19.54,19.74,19.74,,19.35,19.64,,19.16,19.54,19.98,,16.0,19.83,19.69,,20.03,,,19.880000000000006,19.59,18.72,15.42,20.37,16.0,,,19.98,19.35,,19.79,7.8,,,9.45,18.28,16.87,,,19.69,19.59,,17.31,19.79,19.54,,,,,,19.93,,,,19.64,,,,,,,,,,,,,,,,,,,,
192,,,,,13.38,,13.72,2.26,,,,18.67,9.69,,6.44,13.67,17.6,18.62,10.71,11.29,18.33,18.18,18.82,,,,18.52,17.89,17.94,,19.11,14.01,,19.25,13.96,19.64,,13.62,17.65,17.94,,18.23,,,16.97,19.06,18.77,19.54,19.74,17.5,,13.38,16.29,18.91,,18.82,,,,,18.82,18.77,18.82,,18.14,16.73,,14.16,19.2,,,,,,,,,14.79,,,,,,,,,,,,,6.97,,,,,,,,,
245,,,,,12.65,20.22,15.32,11.78,,12.75,19.74,13.91,12.84,15.22,15.95,2.0700000000000003,7.46,10.47,15.32,12.84,12.8,15.03,17.75,,10.27,11.05,20.03,16.1,19.93,,14.93,10.13,,16.39,19.83,20.130000000000006,,15.37,15.17,11.1,,19.74,,,19.01,17.7,12.75,17.94,19.83,15.76,7.65,6.34,16.34,16.29,20.17,11.92,,,8.48,,19.59,19.98,10.56,,19.83,19.54,,19.54,19.06,12.99,,,,,,,,,,,,,,,,,,10.61,,,,,,,,,,2.99,,
