,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
16,,,,,10.47,,1.9700000000000009,12.6,,,,,15.56,,15.17,12.55,1.34,14.64,10.13,15.32,11.53,,,,,15.47,14.93,9.98,20.130000000000006,,18.14,14.54,,,19.74,14.74,,11.78,,13.09,,,,,14.88,,10.32,16.53,15.17,19.64,,,13.09,19.3,,14.25,,,,,11.1,12.21,,,19.83,15.56,,11.1,12.26,,,,,,,,,,,,,,,,,1.6799999999999995,,,,,,12.46,,,,,,,,
27,,,,,10.61,,14.69,9.83,,,19.54,,10.22,16.97,7.7,9.01,12.65,8.14,12.8,8.67,8.28,,,,,,12.41,9.74,11.0,,16.83,19.64,,,8.91,10.81,,,,6.19,,17.75,,,,,,10.08,16.83,13.62,,14.16,16.1,17.41,,8.72,,,10.51,,16.78,12.89,,,16.34,13.18,,12.6,17.17,,,,,,,,,,,,,,9.83,,,14.98,,,,,,,,,,,,,,
31,,,,,16.0,,14.69,13.77,,13.77,6.63,11.97,10.22,10.32,12.46,5.47,12.55,15.42,14.88,13.09,6.19,,,,,13.43,16.68,15.61,15.37,,13.91,5.81,,,16.15,6.58,,12.6,10.85,6.63,,12.99,,,3.4800000000000004,2.99,,10.08,16.0,13.09,,,15.08,12.21,,8.620000000000001,10.85,6.1,,,11.73,13.57,14.16,,13.09,14.4,,13.48,10.81,,,,,,,,,,,,,,,,,,,,,,,5.51,13.23,,,,,,,
106,,,,,15.95,,4.88,17.75,,,16.29,15.85,5.85,14.01,5.37,13.62,13.86,10.27,16.15,7.31,15.61,12.12,,,,13.28,14.06,,6.49,,6.39,17.259999999999998,,,16.83,18.62,,,,,,,,,,5.81,,15.66,5.56,13.18,,,14.59,12.6,10.17,5.47,,,,,12.94,17.21,,6.83,13.67,13.77,,17.55,7.3599999999999985,,,,,,,,,,15.32,,,,,,,,,,,16.34,,,,,,,,,,
140,,,,,14.54,,15.71,10.17,,,17.21,,4.01,,10.32,1.83,12.7,11.68,18.14,18.33,18.91,,,,,18.52,17.07,19.16,17.55,,18.18,18.38,,,17.8,17.36,,,,12.55,,17.41,,,,16.34,18.28,17.8,14.98,17.36,,,17.17,17.8,,16.92,,,,,14.35,18.72,,,15.37,16.39,,19.35,16.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,,,,,12.17,,12.5,14.59,,,10.42,13.09,15.13,9.74,14.74,5.81,7.3599999999999985,12.07,12.84,7.6,12.21,,,,,12.21,5.71,9.2,11.15,,14.74,14.54,,,11.44,13.52,,,,,,8.86,10.56,,12.99,,9.01,10.61,10.32,14.25,,,10.95,15.17,,10.95,,,,14.4,15.27,15.27,,11.05,15.17,14.69,,13.48,13.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,,,,,5.37,,17.17,16.53,,,5.37,16.78,4.3,,17.990000000000006,2.75,5.71,17.5,4.79,16.68,17.21,16.58,,,,16.78,16.92,,16.92,,17.41,17.17,,,17.12,17.12,,,5.32,5.27,,18.04,,,,,,2.3100000000000005,17.8,16.87,,,4.79,18.91,,4.54,,,,,16.92,17.31,,,16.240000000000002,3.62,,4.69,16.490000000000002,,,,,,,,,,,,,,,,,,,,,1.92,,,,,,,,,3.04,
277,,,,,11.68,13.23,14.3,6.58,,,13.62,12.84,12.36,12.5,10.56,2.9399999999999995,12.89,12.65,11.83,9.59,9.4,,,,,11.73,14.79,14.69,15.76,,14.11,14.59,,,10.42,16.68,,,11.87,16.63,,11.0,,,,,8.18,14.25,8.72,15.03,,,13.82,12.75,,15.85,,,,,9.01,12.46,,,12.36,12.8,,9.5,13.43,,,,,,,12.89,,,,,,,,,,,,,,,,,,4.59,,,,,,
297,,,,,18.77,,18.43,5.22,,,17.12,12.8,9.88,19.2,1.58,5.13,17.02,9.01,16.39,12.26,19.54,,,,,18.72,7.75,2.890000000000001,19.16,,19.64,17.5,,,8.82,14.64,,,,,,17.5,,,18.67,,3.72,11.44,4.2,17.8,,19.3,18.77,2.9399999999999995,,3.62,,,,,17.94,7.41,,,3.67,18.52,,12.26,17.5,,,,16.78,,,,,,,,,,,,,,,,,,,,,,,,,,,
312,,,,,16.240000000000002,,12.41,14.88,,,18.28,,7.8,17.990000000000006,8.57,6.15,15.37,5.13,8.33,10.17,19.25,,,,,7.21,14.83,17.990000000000006,17.259999999999998,,18.86,17.75,,,4.93,18.52,,18.96,,18.28,,12.07,,,,12.07,,12.94,15.66,18.52,,,17.55,17.6,,12.94,,,,,12.5,16.05,,,13.91,12.84,,18.67,11.29,,,8.82,,,,,,,,14.45,,,,,,,,,,,,12.7,,,9.4,,,,,
319,,,,,12.8,,4.64,18.62,,,19.16,,10.17,19.11,10.17,2.84,19.3,1.2400000000000002,16.87,15.95,18.86,,,,,18.82,12.84,19.54,2.41,,18.82,19.69,,,5.85,18.28,,,,,,18.23,,,,,18.48,18.28,17.55,16.92,,18.23,16.58,18.77,,6.49,,,,,18.09,16.63,16.73,,1.3900000000000006,5.81,,11.29,13.18,,,,,,,,,,,18.38,,,,,,,,,,,,,,,,,,,,
449,,,,,13.96,,10.76,16.0,,,15.13,10.66,6.97,19.3,10.81,15.37,5.76,14.74,6.73,7.8900000000000015,14.69,,,,,,13.86,13.67,12.89,,10.51,14.79,,,15.27,11.49,,,,7.3599999999999985,,8.14,,,,,14.59,16.0,12.5,15.17,,,7.55,15.61,,15.47,,,,,15.03,14.16,,,14.11,16.05,,11.39,12.99,,,,,,,,12.84,,,,,,,,,,11.87,,,,,,,,,,,,,
