,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
3,,,,,14.5,,8.14,16.63,,,,16.58,16.44,,3.43,1.4399999999999995,17.41,15.13,13.43,10.95,18.57,,,,,,10.95,18.52,18.33,,11.87,12.75,,4.98,11.63,18.23,,5.61,10.9,,,19.880000000000006,,,,20.32,,19.59,16.39,17.6,,,14.35,19.2,,17.55,,,,,17.6,7.99,,,12.17,8.72,,18.28,17.89,,,,,,,,,,,,12.21,,,,11.53,,,,,,,,,12.94,,,,,,
36,,,,,5.37,,10.81,10.17,,,,,4.01,,4.25,6.83,7.8,10.17,13.86,10.81,15.17,,,,,14.2,4.4,,11.97,,12.94,13.82,,,17.41,12.94,,,,,,15.71,5.08,,,12.89,18.04,17.65,15.51,12.89,3.86,,12.75,18.52,,12.75,,,,,,16.58,,,12.94,13.91,,15.37,11.58,,,,13.18,,,17.41,,,,,,,,,,,,15.56,,,,,,,,,,,,
41,,,,,6.24,,12.36,7.99,,,,,10.47,14.74,6.83,7.7,10.66,15.81,14.45,5.08,15.61,,10.56,,,15.47,10.71,14.98,17.46,,14.59,13.77,,,15.66,18.14,,17.31,15.56,,,14.45,,13.04,,12.65,14.69,14.83,16.73,14.98,,,16.39,16.97,7.55,14.74,,,,,15.66,18.57,15.66,,16.73,14.45,,13.14,18.72,,,,,,,,,13.52,,,,,10.17,,,,,,,,,,,,,17.36,,,,
43,,,,,6.83,15.95,14.88,11.87,,,,,7.31,,7.5,5.76,8.14,10.56,12.99,10.61,7.17,6.05,,,,12.75,18.09,15.85,16.39,,11.34,17.84,,,18.18,8.04,,,14.59,,,13.91,,,,15.32,17.21,17.259999999999998,15.22,16.490000000000002,,,17.6,15.85,,14.83,,,,,18.43,16.490000000000002,,,17.8,13.38,,17.02,15.56,,,,,,,,,,,,,,16.83,,,,,,,,,,,,,17.31,,,,
78,2.890000000000001,2.210000000000001,1.4900000000000002,12.8,16.19,2.3599999999999994,1.3900000000000006,5.03,1.34,1.5299999999999994,6.97,10.76,1.3900000000000006,7.3599999999999985,1.34,1.34,15.71,1.2899999999999991,16.15,18.67,4.01,1.1899999999999995,2.26,1.2400000000000002,1.4399999999999995,10.51,11.24,19.25,18.77,2.7,5.61,19.64,1.7799999999999994,2.41,16.05,18.33,1.34,2.99,14.2,1.83,1.58,17.259999999999998,1.34,1.2400000000000002,4.45,4.88,4.25,18.23,15.32,19.59,1.2400000000000002,2.0700000000000003,19.01,10.13,5.61,16.58,1.1899999999999995,1.2400000000000002,1.7300000000000004,1.58,4.59,18.48,12.8,1.5299999999999994,11.24,17.990000000000006,1.58,17.36,17.990000000000006,1.9700000000000009,,,,,,,,,,,,,,,,,,,,10.81,,,,,,,,,2.6,1.92
98,,,,,11.1,,1.34,1.4399999999999995,,,3.96,,13.72,3.96,1.9700000000000009,1.2899999999999991,2.3599999999999994,1.4399999999999995,1.34,19.64,9.83,,3.96,,3.04,10.95,17.65,14.79,16.05,,16.05,14.25,,19.54,9.06,13.33,,,10.61,,,6.68,,,,11.53,,19.01,19.4,13.33,,,14.88,15.08,,11.24,,,,,18.57,16.68,,1.7799999999999994,12.46,13.33,,15.27,11.83,,1.34,,,,,,,12.12,13.04,,,,,,,,,,,,,,,,,,,,19.5,
131,,,,,5.81,,6.53,9.25,,,,,16.15,,4.25,4.25,17.6,7.99,16.68,14.5,15.08,,,,,15.76,18.23,11.19,16.87,,12.84,18.43,,,18.43,18.28,,16.19,7.5,,,16.63,,,16.58,18.18,6.39,17.84,15.76,18.28,,,17.84,13.28,,10.37,,,5.76,,15.37,17.990000000000006,,,14.59,17.84,,13.18,18.43,,,,,17.259999999999998,,,,,,,,,,,,,5.56,,,4.01,,,,,,,,,,
151,,,,,9.5,,7.5,6.24,,,,,7.31,16.34,7.31,6.73,6.83,9.5,12.17,9.93,13.23,,,,,11.78,14.11,10.95,7.3599999999999985,,13.09,7.8900000000000015,,,13.28,15.42,,13.48,,10.61,,13.18,,,,14.2,14.5,9.69,14.01,15.13,,,12.31,12.7,,11.92,,10.66,,,13.72,6.73,,,9.3,11.19,,10.95,10.27,,,,,,,,,,,,,,7.7,,,,,,,,,,,,,,,,10.66,
181,,,,,7.99,,4.45,12.8,,,,,6.97,,11.15,11.15,6.87,15.17,13.23,8.14,12.94,,,,,8.52,15.61,11.05,13.23,,6.53,15.56,,,16.68,13.67,,13.48,,,,,,,11.87,,8.96,,16.44,15.37,,14.5,16.39,15.17,12.89,7.6,,,,,17.259999999999998,17.65,,,16.1,12.84,,9.5,17.75,,,,,,,,,,,,,,,,,,13.09,,,,,,,,,,,,,
208,,,,,1.9700000000000009,,3.52,3.43,,,,,2.17,,3.38,2.26,5.32,4.88,3.82,3.38,11.83,18.28,15.56,,,17.5,15.85,14.5,18.62,,19.69,14.74,,14.74,16.87,19.64,,,10.51,,,16.39,,,18.96,16.87,17.07,19.5,16.97,18.28,9.2,,16.0,17.89,,16.29,4.83,,,,18.28,17.5,11.97,,19.11,16.44,17.55,15.66,16.490000000000002,,,,,,7.99,,,,,,,,,,,,,,,,,,,,,,,,,
