,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
0,,13.14,4.88,,13.14,7.12,16.34,2.3100000000000005,2.9399999999999995,16.34,14.64,15.85,8.09,16.87,5.71,15.81,12.21,13.62,7.99,14.16,7.5,14.88,17.36,,17.07,13.57,16.53,14.4,19.4,4.54,15.61,18.57,,6.39,14.79,16.87,15.85,7.31,7.12,6.24,3.96,18.57,2.02,6.29,8.23,14.98,4.59,6.34,6.15,18.52,,15.13,17.41,18.57,18.09,15.76,,,15.76,,7.6,12.7,,3.72,12.12,13.96,17.8,7.5,15.66,6.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,6.29,3.77,2.890000000000001,6.15,10.42,1.4900000000000002,18.72,14.64,3.72,2.5500000000000007,17.02,7.5,4.01,14.69,2.6,1.2400000000000002,14.01,14.93,19.5,19.69,5.17,19.3,17.41,14.88,11.53,18.96,19.2,14.11,16.39,3.38,15.22,19.5,4.01,5.32,16.490000000000002,8.91,2.7,19.16,6.29,15.85,7.8900000000000015,18.33,4.83,14.2,16.92,14.25,12.84,13.96,15.03,19.35,2.99,12.5,16.05,17.36,18.43,6.29,17.6,3.28,5.27,9.11,20.27,19.64,15.27,6.49,17.17,4.74,16.63,4.3,5.9,19.4,16.1,,,,,,,,,,,,4.98,,,,,,,,,,,,,,,,,
50,,12.84,9.25,,14.2,11.24,16.44,12.07,,15.08,11.92,14.88,9.79,14.2,9.74,7.55,8.14,8.52,13.72,14.01,11.29,17.84,17.8,,11.15,14.4,16.83,14.64,15.42,9.25,16.240000000000002,15.66,12.31,8.04,16.39,15.17,8.14,8.28,19.3,13.52,6.97,15.27,,,7.75,9.45,14.16,13.72,15.9,17.84,7.7,11.15,15.85,14.88,18.77,13.72,,,14.16,18.23,15.56,18.23,15.03,9.74,16.34,15.66,15.81,17.259999999999998,16.29,12.17,,,,,,15.13,,,,,,,,,,,,,,15.13,,,,,,,,,,
53,,,,,13.57,13.86,15.81,11.34,,9.93,15.76,6.92,7.02,12.99,11.73,14.06,7.8,13.62,13.82,14.64,16.78,14.2,14.35,,,14.74,10.66,7.8900000000000015,18.52,,10.42,17.36,,14.83,13.96,13.62,,11.39,14.64,11.34,17.17,15.17,,,10.27,14.64,7.26,10.17,7.21,10.37,,13.57,14.4,17.07,9.59,16.87,,,,15.81,18.91,9.3,7.939999999999999,,16.05,17.5,,9.5,15.71,,,,14.64,,,,,,,,,,,12.7,,,,,,,,11.34,,15.81,,,,,,
83,,11.58,11.53,,14.74,13.52,12.6,13.23,11.39,13.33,12.94,13.23,13.72,13.67,10.61,12.7,7.99,12.55,12.7,12.8,12.65,12.94,13.33,,12.46,13.28,13.28,13.57,13.23,11.49,13.57,13.33,10.56,12.26,13.52,13.28,,13.77,13.67,13.28,12.89,13.23,11.58,,12.94,14.11,13.38,13.43,13.62,12.65,11.49,12.94,12.8,13.52,12.89,13.23,,,11.39,12.94,13.38,13.33,13.14,10.51,13.67,13.38,12.8,13.67,13.28,12.75,,,13.33,,,13.38,,,,,,,,,,,,,,,,,,,13.57,,,,,
92,14.79,6.44,4.98,3.38,8.52,5.47,6.78,6.34,3.38,3.14,4.16,18.09,14.3,12.84,14.5,3.28,1.1899999999999995,8.72,15.51,13.04,7.55,8.09,18.28,3.2300000000000004,13.86,13.43,18.86,11.49,13.14,4.45,17.12,15.66,10.95,5.32,18.67,17.36,4.16,18.04,10.03,3.14,4.45,16.44,3.09,3.33,4.35,15.22,17.65,15.03,15.61,18.28,2.99,5.03,12.26,14.98,5.03,16.53,10.22,2.84,15.32,18.67,18.04,16.97,11.63,2.6500000000000004,2.5,17.36,4.3,17.8,16.29,16.34,,,11.44,,,,,,,,,,,,,,,,,,,,,,,,,11.53,,
118,,20.17,20.08,,20.130000000000006,17.5,20.08,14.98,,1.6799999999999995,16.87,9.64,5.85,12.99,1.3900000000000006,20.130000000000006,13.23,5.17,16.78,1.0999999999999996,3.14,1.2899999999999991,19.45,,3.28,13.18,15.56,19.3,18.48,,18.52,17.6,,2.99,8.14,6.87,,2.890000000000001,19.74,19.79,7.21,17.21,18.28,,17.84,19.880000000000006,18.33,2.75,3.33,17.8,2.5500000000000007,19.16,4.35,18.09,3.38,19.98,,,,18.77,15.17,17.41,19.98,3.62,18.77,15.42,,19.45,4.35,4.59,,,,,,,,,,,,,,,,,,19.16,,17.12,,,,,,,,,,
120,,13.14,,,11.49,13.96,14.98,9.45,,13.82,15.42,15.42,7.26,13.28,6.68,5.27,10.61,4.83,9.54,13.77,13.52,14.3,13.14,,13.48,14.98,13.09,14.16,19.83,14.45,14.3,14.98,,12.8,13.72,13.67,,13.52,13.72,14.4,13.57,15.42,,,12.65,14.88,13.72,13.43,13.38,15.71,,12.8,15.32,15.61,13.38,15.9,,,13.86,14.45,14.98,16.1,15.37,,13.43,14.11,,15.61,14.88,12.31,,,,,,10.22,,,,,,,,,,,,,,,,,,,,,,,,
154,,,,,16.240000000000002,18.52,17.84,13.43,,14.83,11.49,17.31,13.67,14.64,6.0,14.01,9.06,15.37,18.77,18.43,14.64,11.0,17.17,3.18,3.33,10.51,17.75,17.21,10.37,18.04,16.83,18.23,5.17,10.71,18.62,14.93,16.240000000000002,4.45,18.57,4.06,4.5,10.76,16.97,,14.74,11.29,17.7,10.66,18.91,13.09,3.67,16.87,18.23,18.52,4.01,10.66,,,13.28,14.54,17.89,18.14,17.94,3.38,4.69,17.31,3.52,18.28,10.71,11.15,,16.34,,,,,,,,,,,,,,,,,,,4.5,,,,,,,,11.29,
155,,14.69,,,16.78,8.620000000000001,5.37,9.64,,16.34,15.08,8.33,12.94,13.91,3.96,13.77,5.95,12.02,15.37,6.49,13.86,9.06,13.14,,10.22,10.17,8.33,8.72,15.56,13.52,13.62,17.31,9.2,14.11,16.39,14.69,,12.84,8.48,6.0,12.99,13.77,9.74,10.81,5.76,15.76,10.66,8.48,14.35,13.14,8.379999999999999,12.75,12.36,10.56,18.14,5.22,8.57,,7.12,6.83,14.2,11.44,9.83,10.51,9.06,13.14,17.17,10.13,6.83,12.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
