,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
0,,13.14,4.88,,13.14,7.12,16.34,2.3100000000000005,2.9399999999999995,16.34,14.64,15.85,8.09,16.87,5.71,15.81,12.21,13.62,7.99,14.16,7.5,14.88,17.36,,17.07,13.57,16.53,14.4,19.4,4.54,15.61,18.57,,6.39,14.79,16.87,15.85,7.31,7.12,6.24,3.96,18.57,2.02,6.29,8.23,14.98,4.59,6.34,6.15,18.52,,15.13,17.41,18.57,18.09,15.76,,,15.76,,7.6,12.7,,3.72,12.12,13.96,17.8,7.5,15.66,6.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,,11.58,11.53,,14.74,13.52,12.6,13.23,11.39,13.33,12.94,13.23,13.72,13.67,10.61,12.7,7.99,12.55,12.7,12.8,12.65,12.94,13.33,,12.46,13.28,13.28,13.57,13.23,11.49,13.57,13.33,10.56,12.26,13.52,13.28,,13.77,13.67,13.28,12.89,13.23,11.58,,12.94,14.11,13.38,13.43,13.62,12.65,11.49,12.94,12.8,13.52,12.89,13.23,,,11.39,12.94,13.38,13.33,13.14,10.51,13.67,13.38,12.8,13.67,13.28,12.75,,,13.33,,,13.38,,,,,,,,,,,,,,,,,,,13.57,,,,,
84,14.88,11.34,9.3,,15.37,7.26,6.24,12.36,2.3100000000000005,5.76,16.44,16.0,13.48,12.89,7.31,7.46,10.37,13.62,14.88,6.0,17.07,4.54,4.54,4.2,9.5,16.19,18.67,8.28,16.83,9.79,17.259999999999998,17.02,13.18,4.54,13.77,13.04,5.9,9.11,11.87,13.23,6.39,18.48,4.88,5.22,16.39,13.14,16.490000000000002,16.490000000000002,15.95,16.39,,13.04,16.44,18.38,6.29,17.6,5.85,,6.73,5.71,17.36,16.97,7.8,4.88,13.28,16.68,11.34,18.23,6.73,2.5,,,,,7.7,,,,,,,,,,,,16.15,,,,,15.27,,,,,,,,
92,14.79,6.44,4.98,3.38,8.52,5.47,6.78,6.34,3.38,3.14,4.16,18.09,14.3,12.84,14.5,3.28,1.1899999999999995,8.72,15.51,13.04,7.55,8.09,18.28,3.2300000000000004,13.86,13.43,18.86,11.49,13.14,4.45,17.12,15.66,10.95,5.32,18.67,17.36,4.16,18.04,10.03,3.14,4.45,16.44,3.09,3.33,4.35,15.22,17.65,15.03,15.61,18.28,2.99,5.03,12.26,14.98,5.03,16.53,10.22,2.84,15.32,18.67,18.04,16.97,11.63,2.6500000000000004,2.5,17.36,4.3,17.8,16.29,16.34,,,11.44,,,,,,,,,,,,,,,,,,,,,,,,,11.53,,
96,12.75,12.46,,,3.67,13.09,3.28,8.33,,13.23,12.07,6.44,13.23,15.56,11.39,9.88,8.48,11.83,5.66,3.52,12.94,4.93,6.44,,6.1,16.240000000000002,12.99,5.95,14.25,2.3599999999999994,17.259999999999998,15.76,9.45,5.76,16.15,17.5,12.07,16.58,12.89,13.23,6.92,17.259999999999998,13.33,11.97,10.51,11.19,17.31,12.17,13.52,15.03,3.33,8.14,15.47,19.25,13.48,19.74,5.9,,3.91,9.98,9.45,11.53,2.119999999999999,5.32,11.15,10.42,6.0,12.94,12.02,5.9,,,,,,,,3.86,,,,,,,,,,,,,,,,,,,,,,
100,18.09,17.5,15.95,,14.35,14.93,13.57,7.41,,13.48,8.67,14.25,5.42,10.66,6.44,6.63,3.18,15.03,13.43,11.49,11.68,18.62,12.21,,14.54,10.13,10.61,14.35,4.4,,14.2,11.44,14.2,11.58,13.23,14.45,10.08,12.02,14.35,9.83,14.79,10.37,16.1,,14.11,17.5,13.86,14.69,14.74,11.15,11.73,11.24,14.74,10.32,17.7,11.0,,,,17.6,14.88,12.46,11.15,,11.63,9.88,13.91,17.02,15.08,11.49,,,8.43,,,,,11.92,8.33,,,,,,,,,,,,14.93,,,,,,14.45,,,
114,,15.03,18.82,,13.09,14.69,18.43,4.59,,16.44,14.79,16.240000000000002,4.59,13.18,4.59,3.33,10.47,13.96,10.03,15.85,16.87,14.98,13.48,,12.7,14.25,17.89,10.37,16.58,15.85,13.96,14.35,14.54,12.99,14.98,17.5,13.38,15.71,14.5,17.5,9.01,14.2,,,13.52,13.96,8.77,17.94,15.37,18.62,12.5,12.65,16.490000000000002,9.06,13.67,13.48,14.64,,12.17,17.31,10.22,16.58,14.74,10.47,17.31,17.46,,12.89,14.59,13.67,,,,,,,,,,,,,,,,,,,,,8.82,,7.31,,,,,,,
118,,20.17,20.08,,20.130000000000006,17.5,20.08,14.98,,1.6799999999999995,16.87,9.64,5.85,12.99,1.3900000000000006,20.130000000000006,13.23,5.17,16.78,1.0999999999999996,3.14,1.2899999999999991,19.45,,3.28,13.18,15.56,19.3,18.48,,18.52,17.6,,2.99,8.14,6.87,,2.890000000000001,19.74,19.79,7.21,17.21,18.28,,17.84,19.880000000000006,18.33,2.75,3.33,17.8,2.5500000000000007,19.16,4.35,18.09,3.38,19.98,,,,18.77,15.17,17.41,19.98,3.62,18.77,15.42,,19.45,4.35,4.59,,,,,,,,,,,,,,,,,,19.16,,17.12,,,,,,,,,,
121,3.96,16.92,,,6.58,11.68,4.74,9.54,11.44,6.49,18.48,19.2,6.1,14.69,6.53,3.91,11.53,8.91,12.55,6.39,15.03,15.9,10.85,,17.21,11.87,16.490000000000002,12.17,16.63,6.34,16.490000000000002,16.58,,16.29,8.91,16.92,,16.53,19.59,11.83,7.21,17.07,12.07,,13.38,16.34,15.95,16.15,17.02,13.82,7.21,16.87,17.12,11.97,17.46,14.59,,,6.49,,14.25,16.15,11.68,7.26,17.75,9.98,12.07,11.49,14.69,18.62,,,,,,,,,,14.5,,,,,,,,,,,,,,,,,,,,
129,12.55,12.07,12.99,13.43,19.5,10.32,1.34,15.13,7.65,11.73,11.83,8.379999999999999,15.03,11.78,12.99,1.2400000000000002,7.31,16.05,12.07,1.34,16.78,10.51,11.19,4.88,11.58,12.99,13.23,16.58,20.08,10.61,17.75,16.34,10.76,12.26,4.4,15.32,11.92,17.12,10.47,14.3,11.39,11.44,3.2300000000000004,4.4,12.31,12.75,4.11,15.37,13.72,19.79,10.56,10.71,16.78,16.15,5.85,13.23,12.17,8.72,9.25,12.46,11.83,15.61,14.4,14.11,11.92,16.05,3.5700000000000003,12.6,15.37,12.26,,,,,,,,7.17,,,,,,12.26,,,,,,,,,,,,,,,,
