,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
3,,,,,14.5,,8.14,16.63,,,,16.58,16.44,,3.43,1.4399999999999995,17.41,15.13,13.43,10.95,18.57,,,,,,10.95,18.52,18.33,,11.87,12.75,,4.98,11.63,18.23,,5.61,10.9,,,19.880000000000006,,,,20.32,,19.59,16.39,17.6,,,14.35,19.2,,17.55,,,,,17.6,7.99,,,12.17,8.72,,18.28,17.89,,,,,,,,,,,,12.21,,,,11.53,,,,,,,,,12.94,,,,,,
16,,,,,10.47,,1.9700000000000009,12.6,,,,,15.56,,15.17,12.55,1.34,14.64,10.13,15.32,11.53,,,,,15.47,14.93,9.98,20.130000000000006,,18.14,14.54,,,19.74,14.74,,11.78,,13.09,,,,,14.88,,10.32,16.53,15.17,19.64,,,13.09,19.3,,14.25,,,,,11.1,12.21,,,19.83,15.56,,11.1,12.26,,,,,,,,,,,,,,,,,1.6799999999999995,,,,,,12.46,,,,,,,,
27,,,,,10.61,,14.69,9.83,,,19.54,,10.22,16.97,7.7,9.01,12.65,8.14,12.8,8.67,8.28,,,,,,12.41,9.74,11.0,,16.83,19.64,,,8.91,10.81,,,,6.19,,17.75,,,,,,10.08,16.83,13.62,,14.16,16.1,17.41,,8.72,,,10.51,,16.78,12.89,,,16.34,13.18,,12.6,17.17,,,,,,,,,,,,,,9.83,,,14.98,,,,,,,,,,,,,,
31,,,,,16.0,,14.69,13.77,,13.77,6.63,11.97,10.22,10.32,12.46,5.47,12.55,15.42,14.88,13.09,6.19,,,,,13.43,16.68,15.61,15.37,,13.91,5.81,,,16.15,6.58,,12.6,10.85,6.63,,12.99,,,3.4800000000000004,2.99,,10.08,16.0,13.09,,,15.08,12.21,,8.620000000000001,10.85,6.1,,,11.73,13.57,14.16,,13.09,14.4,,13.48,10.81,,,,,,,,,,,,,,,,,,,,,,,5.51,13.23,,,,,,,
41,,,,,6.24,,12.36,7.99,,,,,10.47,14.74,6.83,7.7,10.66,15.81,14.45,5.08,15.61,,10.56,,,15.47,10.71,14.98,17.46,,14.59,13.77,,,15.66,18.14,,17.31,15.56,,,14.45,,13.04,,12.65,14.69,14.83,16.73,14.98,,,16.39,16.97,7.55,14.74,,,,,15.66,18.57,15.66,,16.73,14.45,,13.14,18.72,,,,,,,,,13.52,,,,,10.17,,,,,,,,,,,,,17.36,,,,
43,,,,,6.83,15.95,14.88,11.87,,,,,7.31,,7.5,5.76,8.14,10.56,12.99,10.61,7.17,6.05,,,,12.75,18.09,15.85,16.39,,11.34,17.84,,,18.18,8.04,,,14.59,,,13.91,,,,15.32,17.21,17.259999999999998,15.22,16.490000000000002,,,17.6,15.85,,14.83,,,,,18.43,16.490000000000002,,,17.8,13.38,,17.02,15.56,,,,,,,,,,,,,,16.83,,,,,,,,,,,,,17.31,,,,
78,2.890000000000001,2.210000000000001,1.4900000000000002,12.8,16.19,2.3599999999999994,1.3900000000000006,5.03,1.34,1.5299999999999994,6.97,10.76,1.3900000000000006,7.3599999999999985,1.34,1.34,15.71,1.2899999999999991,16.15,18.67,4.01,1.1899999999999995,2.26,1.2400000000000002,1.4399999999999995,10.51,11.24,19.25,18.77,2.7,5.61,19.64,1.7799999999999994,2.41,16.05,18.33,1.34,2.99,14.2,1.83,1.58,17.259999999999998,1.34,1.2400000000000002,4.45,4.88,4.25,18.23,15.32,19.59,1.2400000000000002,2.0700000000000003,19.01,10.13,5.61,16.58,1.1899999999999995,1.2400000000000002,1.7300000000000004,1.58,4.59,18.48,12.8,1.5299999999999994,11.24,17.990000000000006,1.58,17.36,17.990000000000006,1.9700000000000009,,,,,,,,,,,,,,,,,,,,10.81,,,,,,,,,2.6,1.92
94,,,,,15.81,,8.91,10.03,,,6.68,14.11,2.99,9.69,8.91,10.17,5.42,14.88,13.43,7.46,8.620000000000001,3.04,10.9,,,,9.79,6.58,9.11,,13.28,13.38,,,11.53,14.45,,14.16,9.5,7.26,,7.46,,,13.14,2.02,10.03,14.11,13.77,13.62,,,16.73,13.91,,11.05,,,,,8.91,16.240000000000002,,,10.81,14.16,,14.59,14.3,8.09,10.9,,,,3.09,14.3,,,,,,,,,,,,,,,,12.36,,,,,,,,
98,,,,,11.1,,1.34,1.4399999999999995,,,3.96,,13.72,3.96,1.9700000000000009,1.2899999999999991,2.3599999999999994,1.4399999999999995,1.34,19.64,9.83,,3.96,,3.04,10.95,17.65,14.79,16.05,,16.05,14.25,,19.54,9.06,13.33,,,10.61,,,6.68,,,,11.53,,19.01,19.4,13.33,,,14.88,15.08,,11.24,,,,,18.57,16.68,,1.7799999999999994,12.46,13.33,,15.27,11.83,,1.34,,,,,,,12.12,13.04,,,,,,,,,,,,,,,,,,,,19.5,
103,,,,,18.52,,13.23,17.75,,,,6.53,12.8,,9.35,19.64,15.32,11.92,18.67,13.33,18.82,,,,12.55,15.85,13.91,19.25,10.76,,12.07,17.21,,10.13,16.87,8.620000000000001,,8.67,,13.62,,13.67,,,,8.82,,12.55,18.09,14.11,,,18.43,,,7.6,,,,,15.61,18.14,,,12.02,18.38,,18.82,14.11,,,,,,,,,14.74,,,,,,,,,,,,,,,,,,15.56,,9.2,,
