,0
0,2
1,18
2,0
3,15
4,1
5,10
6,12
7,7
8,17
9,0
10,4
11,7
12,3
13,14
14,10
15,3
16,15
17,13
18,4
19,1
20,6
21,8
22,13
23,10
24,1
25,13
26,14
27,15
28,16
29,14
30,0
31,15
32,10
33,12
34,1
35,16
36,10
37,17
38,17
39,4
40,0
41,15
42,12
43,15
44,10
45,0
46,6
47,3
48,14
49,3
50,16
51,7
52,10
53,3
54,19
55,13
56,14
57,13
58,10
59,3
60,14
61,17
62,17
63,13
64,1
65,9
66,19
67,4
68,14
69,19
70,7
71,6
72,12
73,13
74,9
75,8
76,18
77,14
78,15
79,1
80,4
81,6
82,13
83,2
84,2
85,19
86,1
87,4
88,10
89,10
90,5
91,13
92,2
93,10
94,15
95,16
96,2
97,1
98,15
99,14
100,2
101,18
102,16
103,15
104,3
105,16
106,10
107,10
108,11
109,14
110,14
111,10
112,10
113,3
114,2
115,19
116,11
117,3
118,2
119,18
120,16
121,2
122,7
123,13
124,18
125,6
126,0
127,11
128,8
129,2
130,4
131,15
132,4
133,3
134,2
135,9
136,16
137,4
138,19
139,13
140,15
141,14
142,1
143,11
144,5
145,7
146,10
147,17
148,15
149,17
150,14
151,10
152,11
153,6
154,16
155,2
156,10
157,2
158,4
159,16
160,3
161,10
162,14
163,10
164,16
165,10
166,16
167,14
168,19
169,14
170,16
171,16
172,1
173,7
174,3
175,10
176,17
177,13
178,14
179,14
180,14
181,15
182,1
183,6
184,17
185,14
186,19
187,6
188,10
189,15
190,2
191,4
192,4
193,7
194,1
195,5
196,6
197,4
198,15
199,3
200,12
201,13
202,15
203,14
204,17
205,6
206,14
207,7
208,5
209,1
210,17
211,1
212,5
213,19
214,6
215,0
216,6
217,15
218,9
219,19
220,5
221,1
222,9
223,14
224,3
225,14
226,1
227,9
228,1
229,18
230,1
231,2
232,14
233,9
234,1
235,1
236,15
237,2
238,10
239,6
240,10
241,4
242,15
243,18
244,10
245,16
246,0
247,7
248,19
249,13
250,4
251,3
252,17
253,17
254,9
255,18
256,13
257,19
258,15
259,4
260,17
261,4
262,17
263,5
264,6
265,13
266,1
267,18
268,7
269,8
270,1
271,2
272,13
273,14
274,2
275,2
276,3
277,15
278,4
279,6
280,8
281,9
282,17
283,3
284,19
285,0
286,3
287,14
288,7
289,14
290,15
291,13
292,14
293,16
294,10
295,3
296,9
297,5
298,9
299,5
300,3
301,15
302,19
303,16
304,7
305,8
306,2
307,2
308,2
309,12
310,13
311,12
312,15
313,15
314,15
315,10
316,13
317,4
318,5
319,15
320,0
321,19
322,10
323,10
324,3
325,10
326,12
327,17
328,1
329,0
330,18
331,14
